|17
sky building people light pole cord street|1
proud|4
carnival parade crowded and this something dark|1
senior|2
parade of motorcycles|2
singing "happy birthday"|1
child saying a message|1
convoy|7
parade dance off|1
students graduation celebration|1
applauding|1
flag dancing|1
light up float|1
shimmer|1
preschooler opening gifts|1
wood|3
familt celebration|1
baby chair tray window balloons wall cap shirt|1
wearing glasses|1
end of graduation|1
kids table window cake flame box|1
jazz|1
attempts again|1
students sitting outside on chairs|1
lighter|5
awardsceremony|1
familiies with children walking along a road|1
naked|2
birthday occasion of young child|1
baby watching parade|1
graduation w guy waving|1
clowns|8
aisle|2
gown cap students hand|1
hat band house tree|1
happy birthday song singing|1
picnic|12
giant stilletto|1
turntable|1
college|13
cadets|2
bicyclist|1
candle princess flame|1
school certificate ceromony|1
young students at their graduation|1
weapons|3
outside|83
children shouting|1
chilean flag|1
track meet|1
street celebration|2
sirens|13
guitar|48
sirene|1
20|1
mom with daughter talking|1
driving past rows of bmw's|1
kids eating food at table|1
quiet|1
musical event|2
cobblestone street|1
bamboo chaise|1
picked up flag|1
a soldier saying congratulations to someone via video|1
pov|2
armchair|1
pop|1
pole|2
community float|1
noisy|9
white cap and gown|3
spotlights|3
night light people girl|1
night skaters lights tree parade street black|1
kids waving at camera|1
helicopter|7
graduation awards  singing|1
engine|1
dancing parade|6
tiger|3
minister|1
ship float|1
rose bowl parade|1
view from 10 storeys|1
crowd bikes shirt shorts road|1
spiderman|1
a second woman translates|1
shops|1
trumpet band|3
birthday parade|1
parade of pets|1
holding up present|2
helmet|1
table cup letters kids punch wall hat|1
alphabet|2
bows|1
boy spoon plate cake dishes fork|1
booths|1
baby plays with a flower balloon|1
director|2
neon lights|1
statue|1
cartoon|4
msuci|1
maching band|1
boy teacher cap gown flower chair|1
recital|15
hula skirt|1
whistle blowing|1
foyer|1
bithday celebration|1
nighttime event with a marching band|1
kilt|4
blows out candle|1
actions|4
kids dance display|1
garduation|4
blow|12
announcement|17
viewers|2
flashing|38
girl iwth package|1
raceway car horn pole sign grass sky rail|1
blue hats|1
fridge|1
band kids students street building horn|1
cake candle|1
people in character suits take part in a parade|1
color|1
furniture|1
kids in blue caps and gowns|1
soccer excercise|1
eat spaghetti|1
valadictorian speech|1
waiving|1
band marching|1
graduation ceremony speech|1
competition|3
tries again|1
respect|3
dressed up|1
cap gown curtain stepboy girl|1
slice|2
children palying basketball|2
shirtless|1
child's birthday|4
moon|1
people take part in an outdoor parade|1
car moving|1
graduates walking to the seats in a graduation ceremony|1
paper plates|1
pom-poms|4
sari|5
yay|2
naval seamen|1
team mates parade|1
harley davidson|1
kids and parents go for walk|1
baby climbs back up again|1
ladies|2
instruments|44
students graduation|1
bad hair day|1
snowmen|5
children playing football on the beach|1
child and adult on bike|1
snow white float parade|1
sdasda|1
high heel float|1
illuminated|2
children speaking to camera|1
birthday piece|1
hot air balloons|2
gym of school|1
flats|1
grass|13
disney parade approaches|2
someone takes photo|1
marines being talked to during graduation|1
basketball game|59
waving hand|1
britain|1
singing happy birthday song celebration|1
baby chair wall envelope window|1
lights night parade sign|1
fire engine parade|2
blowing candle|4
red and white|1
swords|1
roses|1
5|1
guy aims|1
someone videos a car jam|1
lighting vehicle|1
motorcycle gang|2
sully|1
child crying|1
lady makes a speech at her graduation|1
mortar boards and gowns|1
house people cap gown students flower|1
playing on parachute|1
applause|82
small trucks|1
dribble.|1
mardigra|1
instraments playing|1
graduates walking toward stage|1
parents celebrating happy birthday with drums and lights|1
costume night lights tree|1
chinese|11
chlid|1
ladders|1
bdayt|1
marching parade|1
jessie|1
sparkling|1
program|7
cheerimg|1
siblings|3
family sing happy birthday at a picnic|1
firestruck|1
woman|85
song|26
fat|1
fan|1
soldier parade|2
bubbles|10
grandfather|2
little children's graduation|1
float with lights|1
marchers carrying banners|1
guy graduating and changing into superman|1
sun|1
anniversary|1
students walk across the stage at grad|1
a school dignitary announcing the names of graduates as they walk across the stage to receive their diplomas and are congratulated|1
pulpit|2
racing|2
guns|3
a group of 6 girls greeting a happy birthday to their friend mel|1
youth basketball games|1
family relaxing at home|1
twirling 1|1
bulls|1
daytime parade featuring a marching band|1
adults encouraging children|1
golf buggy|1
grads walk towards stage|1
graduation caps|3
kids chair wall cake fire candle flame|1
exited|1
toddler'4s graduation|1
motorcyclists take part in a holiday parade|1
lights up|1
graduataion ceremony|1
military march|1
band on the back of a truck in a parade|1
donuts|1
kids showing off their muscles|1
boy singing|1
horses|34
waving to crowd|1
drumers|1
happy birthday daddy cake|1
excercising|1
grabbing|2
receive reward|1
making faces|2
flag|86
military troops standing|1
stick|1
ground people wheel shoe|1
talking into microphone|1
policemen|3
bagpipe band marching in a parade|1
childs mock graduation at school|1
children playing games|1
seven dwearves|1
girls singing|1
man riding horse|1
smart phones|1
childrens party|1
imitation|1
video taping|1
flag tree branch float parade building|1
court|21
goal|5
lighting candles on birthday cake|2
wearing crowns on head|1
african children|1
little kids pretending to have a parade|1
water bottle|1
group singing happy birthday on video|1
lighting|24
short|1
after graduation picture|1
little boy accepting diploma|1
cross|3
disabled|1
cheerleders|1
students collecting certificates|1
female patient|2
cake kids dad candle table window|1
graduate names announced|1
mixed generations|1
soccer|97
indian celebration|1
cap gown students crowd podium floor wall|1
kids halloween parade|1
birthday occasion with young kids singing|1
youth basketball|1
happy 100 birthday|2
men talking|1
milestone|7
nightime street parade|10
instructions|1
marchers waving to crowd|1
birthday lunch|1
trucks hauling a small float|1
walking across the stage|1
child is reading|1
game begins|1
pets birthday|1
airplane flying overhead|1
pirates|4
graduates dressed in blue policemen uniform|1
people cheer when a man arrives in the room|1
riders on float|1
birthday of a youngster|1
baby eats cake|1
canadian flag|1
lady makes a graduation speech|1
men crowd cap gown student|1
basketball gameplay|1
wooden gifts|1
alcohol|1
english language instutute|1
birthday occasion in a home|1
firworks|1
horrible cameraman|2
white terrier dogs walking|1
warm-up|1
kids in character outfits parade in the gym|1
cookie|1
cake shelf jar plate man boy|1
tassels|29
guy|2
lights pole people building sign night|1
kid blows candle|1
costumes halloween music crowd street parade|1
a young man getting his diploma at graduation|1
preschool graduation|7
pointing at cake|1
cultural play|1
band playing at graduation|3
drakness|1
feet|3
sailor|2
blank|6
ornaments on display|2
banner cap gown stage rail|1
passes|1
patade|1
prizeday|1
felices|1
headache|1
hotel|1
woman tries to make a funny speech|1
a new year parade in la|1
nurses singing happy birthday|1
rifle|1
a woman makes a speech at grad|1
man clapping|1
golf cart|4
golf cars|1
graduation ceremony for very young children|1
woman holding a baby|1
[arade|1
chairs floor people|1
stall|5
outdoors|70
motivation|2
uniforms|46
graduation ceremomy|1
playing toys|1
gala|1
little boy opening present|1
float going by|1
they hold a banner|1
pomp and circumstance|1
military street march|1
sandwiches|1
baby singings happy birthday|1
nemo display|1
pianist|1
birthday toast|1
singing waiter|1
electric|1
small graduating class|1
cigarette|1
parade of horses|1
nothing|18
summer camp parade|1
achievement|1
festive garb|2
blowing out of the candles|1
windows|4
home video|11
traditional|2
nerd watching parade|1
celebrating birthday|3
stoned|1
its seminar hall|1
girls team|1
dwarfs parade crowd tree night|1
birthday p[arty|1
young students singing|1
blowwing out birthday candles|1
man blowing out candles.|1
woman speaking on microphone|1
congratuations|1
listening to mom|1
angry woman gets a gift|1
whistle|3
police cars|2
banquet|1
cartoons|1
activity|4
art|1
people stood in hallway|1
graduates standing|1
cute little girl|1
arm|2
recording|2
cosplay|1
speaker giving speech from thepodium on stage|1
girls candle flame ã¿teps rail man|1
hula hoops|2
kids sports awards|1
latin|1
birthday event|2
graduates sitting and waiting|1
wather|1
yellow hat|1
kids kick ball|1
horses pulling floats|1
baseball|12
men in uniform|2
playing instrument|1
dance floor|1
christmas run|1
kids dancing to music|1
father holding birthday child|1
nurses singing to patient|1
team members saying happy birthday|1
children eating|1
children going to a parade|1
baseball players|1
child blowing|1
hair girl cake table flame lighter hand watch|1
chld|1
old men|1
mardi gras|1
brick|1
baby gifts|1
child singing|2
audience members cheer|1
firefighters|2
a birthday party|1
slideshow|1
graduation of students|1
a group of young toddlers performing a song and dance routine at their graduation|1
toga|20
plants|10
wedding gowns|1
children riding streetcar|1
junior boys playing basketball|1
floats passing b y|1
moustache|1
demon|1
rip|2
rollerskating|2
white uniforms with red stripes|1
shirt|1
parading|1
woman man desk boars meeting chair|1
children posing for graduation pictures|1
cupcake with lit candle|1
cement|1
holidays|2
moving|189
person giving a speech|1
a blonde toddler sitting on the floor of a nursery getting a gift|1
dancing in chair|1
dancing|618
flag ceremony at grad|1
waving to the crowd|1
cheer|2
dinner party|1
presentaton|1
glow sticks|2
very weird family|1
dark cake candle flame light|1
lumeniare|1
family meal|2
prince|1
tables|12
boy dad cake table chair drawer wall flash|1
exhibition|1
sport ground|1
unplayable|1
acrobatics|5
two little girls sing happy birthday|1
sittig|1
staff sing at a kid|1
sittin|1
high five|2
walking up the ramp|1
playing music|6
sky show|1
lit cake|2
a school official introducing one of the speakers at a graduation|1
moving their hands|1
birthday occadion|1
family sitting around table|1
clown|9
mother trying to sing happy birthday song|1
man talking to camera|1
baby being fed|1
young boys|1
little kid playing|1
prom|5
jumpy|1
siltwalkers|1
students celebrate graduation|1
land of hope anfd glory|1
aloft|1
girl cake flame wall paper parents|1
graduation performence|1
performers rollerskating|1
crayng|1
feeding baby icecream|1
drum band playing|2
recepient|2
graduation party|5
navy parade|2
mommy|1
crowd making noise|1
canal|1
mickey mouse parade float|1
shoot basket|1
building people street float parade|1
give woman a gift|1
mountains|1
parade in homedepot|1
cloth|1
familia|1
graduates leaving|1
penguin|1
parade of little trucks|1
micky waving|1
young girl standing with bubbles moving around her|1
strands|1
desfile|8
parade lights princess blue|1
shooting baskets|1
rally|15
rainbow|3
moving chairs in a hall|1
riot|1
mardigra beads|1
students graduation ceremony|1
nick|1
children sat on floor|1
motorcycle convoy|1
tenpin|1
posters|2
drum band|4
inflatable balloon|1
pottery|1
kids dressed in halloween costumes|1
dribblimg|1
hoverboards|1
scroll|1
little girl shoots and misses|1
windy|1
undergaduate|1
drums parade|1
cupboards|1
wave flags|1
people in a line|1
graduation surprise party|1
fences|1
parade with horse and band playing|2
babies playing|1
spoon|6
wishes|1
drinking|13
people lounging|1
tutu|1
girl sat on object|1
child looks like he's at the zoo or a park|1
leader|1
steel band|1
birthday occasion for a small boy|1
business establishment|2
snails|2
procession|161
car parade|12
music car|1
cake topper|1
sunny day|3
waiting|6
musical street parade|1
children graduation event|1
young students singing at their graduation|1
pets birthday party|1
degree|6
daycare|1
cheerleaders holding pompoms|1
presentation of diplomas/degrees|1
lights night parade street float|1
leaving|2
hound dog|1
parqade|1
shovel|1
apple|1
white uniform|3
pink dress|6
dwarves|11
blowing out cake|1
duck|1
snow man|1
ape|1
usa|8
dog treats|1
amusement park|1
some kind of event|1
candle with cake|1
musician|6
armored car|1
women|67
people cheer|6
man sits|1
gramps drinks|1
kid singing|2
nightime parade|2
singing card|1
throwing treats|1
parents celebrating little girl's birthday|1
people gown tree sky balloons kids|1
marching band go down street|1
little boys birthday party|1
bears danfcing|1
children singing happy  birthday|1
its a festival|1
cake hat|1
sidewalks|2
entering a gate|1
brian|1
fidgeting|1
white gown|3
toddler|34
puppets|8
silent parade|2
walking down hallway|1
masks|20
girl celebrant|1
thank for service|1
ethnic|2
blue bib|1
grauduation|1
tongue|3
sculptures|1
light|21
straps|1
soccer pratice|1
lighs|1
daytime parade or march|1
saying happy birthday|2
necklace|2
bush cap gown tree rail curtain|1
marching band follows|1
a student receiving his diploma and shaking the hands of school dignitaries|1
candles on birthday cake|1
3 candles|1
an asian man is getting a title|1
ships|6
birthday wishes|4
street fair|1
people sing the national anthem|1
orange|3
christmas music|2
birthday celebrations|1
crowds|103
practice|10
hula skirts|2
grad on tv|1
adult helping him from the side|1
motorcycles|31
bewilderment|1
easel|1
drummers|7
tram|2
ceremoney|9
kids baby plate high chair seat spoon|1
golf buggy parade|1
fiddle|1
young boy playing in a home|1
??|3
daytime parade of cars and motorbikes|1
red outfits|1
sign flag night people|1
a marching band parade along a street|1
children go into a room|1
little girl opens a birthday card|1
performe|1
two little boys sing happy birthday|1
woman cutting cake|1
tv playing|1
singing karaoke|1
football game|1
marchers holding banners|3
dogs walking|1
childs birthday|3
dance performance|1
waterloo|1
conversation|1
dancing with rings|1
friends walking to college|1
restaurants|1
drummer boys|1
costume event|2
children sining at school graduation|1
boy singing "happy birthday"|1
candle lighting|1
umbrellas|5
yoko ono|1
safari clothes|1
toddler tries to climb off messy floor|1
school kids graduation singing|1
people watch a military parade|1
motorcar|1
little guy blows out candles|1
child cutting birthday cake|1
uncle sam float|1
mules|1
girl cake candle flame wall seat plate|1
social event|1
carnaval|2
boys singing birthday song|1
boy table man cake paper chair cabinet|1
student speaking on podium|1
cartoon character dress|1
audlts|1
teenagers|12
wich is wich team?|1
panther country|1
pupils|1
baby opening envelope|3
child playing with toy and looking into camera|1
beach football|1
deejay performing at a parade|1
birthday cleebration|1
rude guy makes a gesture|1
a little girl in a pink dress doing a somersault on her blanket|1
school kids perform on stage|1
singing and waking kid up|1
drinking wine|1
highschool|2
class|29
kid talking eating|1
child waving|1
car passes|1
ballons|8
boy sitting|1
children wearing halloween costumes|2
toddler playing with long yellow balloon|1
flower floats|1
cake with sparkler|1
candidates|1
piano|19
little girl opening presents|1
whale balloon|1
cuba|1
instrumental music|1
setting up graduation ceremony|1
small kids singing|2
banner kids cap gown hands camera hair nose|1
someone calls names|1
tickertape|1
staples center|1
two people|1
boy sitting in stroller clapping hands|1
young kids singing|1
paper hat|1
holding hands|6
a toddler in red pajamas opening a present|2
dancing in the street|2
pinata|8
little boy showing off his new dvd|1
birthday yay!|1
kids wearing masks|1
putting hats on dogs|1
opening|19
beverages|5
standing up|1
shooting with camera|1
clapping hands|4
black and white|2
street parade for la lakers|1
girl opening present|1
man handing over certificate|1
window table floor men group wall|1
peguin happy time|1
costumed children singing a song and one of the girls is crying|1
dad table cake candle flame door wall knob|1
indoor soccer|3
baby singing|3
night party|1
dog birthday cake|2
table cloth|2
wall|7
group of asian children walking together|2
walk|6
child opening presents|2
pscyhology|1
motorbike|4
children graduate|3
dimploma|1
capp and gowns|1
reindeer|5
mike|5
lady signing to kids|1
parade float|15
paraade|3
kid and her mom|1
present|59
birthday occasion in a restaurant|1
lots of people standing outside of their cars parked along the side of road|1
borthday party|1
room balloon blind table cake people|1
tallships harbour parade|1
encouragement|1
pews|2
the grads march through the crowd|1
happy birthday cake|1
name tags|1
students celebrating graduation|1
woman in sari|1
education|1
headlight|3
dslr camera|1
birthday but guessing shes not 18|1
noise makers|1
convocation|1
diploma|34
beast|1
coaches|6
student|10
whale|8
collar|1
gathering at restaurant or bar|1
sports venue|1
maybe a parade or graduation|1
fighting|1
fire truck in parade|1
spectator|2
people watching marching band|1
cake woman candle floor table food kids chair step|1
kid runs|1
old man|8
receiving award|1
celebrating baby's birthday|1
happiness|11
girl eating cake|1
2 babies eating cake|1
skunk on float|1
sky|2
frozone|1
shoot hoops|1
kids in facncy dress|1
graduation speech|40
boy standing on table|1
people walking|19
singing  happy birthday|1
crowd of people|1
woman singing happy birthday|1
black birthday cake|1
cochin|1
dacers|1
candal|4
birthay party|1
sitting in high chair|1
annoying noises|1
platforms|1
twirling|7
little girl unwrapping a present|1
kids sing around the campfire|1
markers|1
children wearing blue hats|1
boy toys floor rug chair|1
military show|1
adults sitting on picnic table|1
plastic trays|1
university of bridgeport|2
saddle|1
baby opening birthday card|1
bulletin board|1
ferris wheel|2
awards presentation|2
motorcars|1
mrap|2
halloween parade|12
van|4
puppet show|1
big screen tv|1
cinderella|9
announcements|2
dog floor table chairs person cupcake candle flame|1
christmas carol|1
kid reading or reciting|1
percussion instruments|1
limo|1
man glasses microphone beard flash|1
unwrap|2
wall lamp door people camera men|1
kitchen counter|1
ball float|1
birthday onesie|1
dining table|2
protesting|1
cake|992
christmas hats|1
children saying happy birthday|1
blue curtains|1
sports awards|1
kabuki!|1
swaing|1
diplomas|25
graduation rehearsal|1
family house party|2
book|1
pipeband street parade|1
sesame street|1
woman makes a speech to a group|1
auditorum|1
preform|1
squeak|1
commencement|68
military band|1
referee judging the game|1
majorettes|4
